الجذر,المصدر,إسماء الفاعل,إسماء المفعول,الماضي,الْمُضَارِع,الْأَمْر,English,Form
د ر س,دَرس,دارِس,مَدروس,دَرَسَ,يَدرُس,اُدرُس,To study,I
ق ت ل,مَقتَل,قاتِل,مَقتول,قَتَلَ,يَقتُل,اُقتُل,To kill,I
س ل م,سَلام,سالِم,مَسلوم,سَلَمَ,يَسلَم,اِسلَم,To be at peace,I
ذ ه ب,مَذهَب,ذاهِب,مَذهوب,ذَهَبَ,يَذهَب,اِذهَب,To go,I
غ س ل,غَسل,غاسِل,مَغسول,غَسَلَ,يَغسِل,اِغسِل,To wash,I
ك ت ب,كِتابَة,كاتِب,مَكتوب,كَتَبَ,يَكتُب,اُكتُب,To write,I
ش ر ب,شُرب,شارِب,مَشروب,شَرِبَ,يَشرَب,اِشرَب,To drink,I
و ث ق,ثِقَة,واثِق,مَوثوق,وَثِقَ,يَثِق,ثِق,To trust,I
ح ب ب,حُبّ,حابّ,مَحبوب,حَبَّ,يَحِبّ,اِحبِب,To love,I
ث ب ت,ثَبات,ثابِت,NA,ثَبَتَ,يَثبُت,اُثبُت,To withstand,I
ر ه ب,رَهبَة,راهِب,مَرهوب,رَهِبَ,يَرهَب,اِرهَب,To fear,I
ش غ ف,شَغف,شاغِف,مَشغوف,شَغَفَ,يَشغَف,اِشغَف,To enamor,I
ف ص م,فَصم,فاصِم,مَفصوم,فَصَمَ,يَفصِم,اِفصِم,To separate,I
ل ق ن,لَقانَة,لاقِن,مَلقون,لَقِنَ,يَلقَن,اِلقَن,To understand,I
ه ش م,هَشم,هاشِم,مَهشوم,هَشَمَ,يَهشِم,اِهشِم,To crush,I
ك ذ ب,كِذبَة,كاذِب,مَكذوب,كَذَبَ,يَكذِب,اِكذِب,To lie,I
ف ش ل,فَشَل,فَاشِل,مَفْشُول,فَشِلَ,يَفْشَل,اِفْشَل,To fail,I
