al_jidhr,al_masdar,isma_al_fael,isma_al_mafoul,al_madi,al_mudarie,al_amr,english,form
د ر س,دَرس,دارِس,مَدروس,دَرَسَ,يَدرُس,اُدرُس,To study,I
ق ت ل,مَقتَل,قاتِل,مَقتول,قَتَلَ,يَقتُل,اُقتُل,To kill,I
س ل م,سَلام,سالِم,مَسلوم,سَلَمَ,يَسلَم,اِسلَم,To be at peace,I
ذ ه ب,مَذهَب,ذاهِب,مَذهوب,ذَهَبَ,يَذهَب,اِذهَب,To go,I
غ س ل,غَسل,غاسِل,مَغسول,غَسَلَ,يَغسِل,اِغسِل,To wash,I
ك ت ب,كِتابَة,كاتِب,مَكتوب,كَتَبَ,يَكتُب,اُكتُب,To write,I
ش ر ب,شُرب,شارِب,مَشروب,شَرِبَ,يَشرَب,اِشرَب,To drink,I
و ث ق,ثِقَة,واثِق,مَوثوق,وَثِقَ,يَثِق,ثِق,To trust,I
ح ب ب,حُبّ,حابّ,مَحبوب,حَبَّ,يَحِبّ,اِحبِب,To love,I
ث ب ت,ثَبات,ثابِت,NA,ثَبَتَ,يَثبُت,اُثبُت,To withstand,I
ر ه ب,رَهبَة,راهِب,مَرهوب,رَهِبَ,يَرهَب,اِرهَب,To fear,I
ش غ ف,شَغف,شاغِف,مَشغوف,شَغَفَ,يَشغَف,اِشغَف,To enamor,I
ف ص م,فَصم,فاصِم,مَفصوم,فَصَمَ,يَفصِم,اِفصِم,To separate,I
ل ق ن,لَقانَة,لاقِن,مَلقون,لَقِنَ,يَلقَن,اِلقَن,To understand,I
ه ش م,هَشم,هاشِم,مَهشوم,هَشَمَ,يَهشِم,اِهشِم,To crush,I
ك ذ ب,كِذبَة,كاذِب,مَكذوب,كَذَبَ,يَكذِب,اِكذِب,To lie,I
ف ش ل,فَشَل,فَاشِل,مَفْشُول,فَشِلَ,يَفْشَل,اِفْشَل,To fail,I
ك ت ب,تَكتيب,مُكَتِّب,مُكَتَّب,كَتَّبَ,يُكَتِّب,كَتِّب,To cause to write,II
ق ت ل,تَقتيل,مُقَتِّل,مُقَتَّل,قَتَّلَ,يُقَتِّل,قَتِّل,To massacre,II
ك ب ر,تَكبير,مُكَبِّر,مُكَبَّر,كَبَّرَ,يُكَبِّر,كَبِّر,To enlarge,II
م ر ض,تَمريض,مُمَرِّض,مُمَرَّض,مَرَّضَ,يُمَرِّض,مَرِّض,To make sick,II
ج ن س,تَجنيس,مُجَنِّس,مُجَنَّس,جَنَّسَ,يُجَنِّس,جَنِّس,To naturalize,II
ج ل س,تَجليس,مُجَلِّس,مُجَلَّس,جَلَّسَ,يُجَلِّس,جَلِّس,To register,II
ش ب ه,تَشبيه,مُشَبِّه,مُشَبَّه,شَبَّهَ,يُشَبِّه,شَبِّه,To compare,II
ح ص ل,تَحصيل,مُحَصِّل,مُحَصَّل,حَصَّلَ,يُحَصِّل,حَصِّل,To produce,II
ص ع ب,تَصعيب,مُصَعِّب,مُصَعَّب,صَعَّبَ,يُصَعِّب,صَعِّب,To complicate,II
ج و ز,مُجاوَزَة,مُجاوِز,مجاوَز,جاوَزَ,يُجاوِز,جاوِز,To cross,III
ت ب ع,مُتابَعَة,مُتابِع,مُتابَع,تابَعَ,يُتابَع,تابِع,To continue,III
م ر س,مُمارَسَة,مُمارِس,مُمارَس,مارَسَ,يُمارِس,مارِس,To practice,III
